title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Enter Three Dragons,movie,"""Action, Drama""",1978,tt0079076,5.3,220,"""IE"""
Entitled,tv,"""Comedy""",2023,tt20770366,5.5,162,"""ID, MY, PH, SG, TH"""
Equal Standard,movie,"""Action, Crime""",2020,tt8171000,4.9,628,"""AR, BE, BO, BR, CA, CH, CI, CL, CO, CR, DO, EC, FR, GB, GF, GG, GT, HN, IE, MC, MX, PA, PE, PF, PY, SV, US, UY, VE"""
Erik the Viking,movie,"""Adventure, Comedy, Fantasy""",1989,tt0097289,6.1,14682,"""AT, AU, CH, CM, DE, GB, GG, GH, GI, IE, IT, KE, MW, NG, PG, SM, UG, VA, ZA"""
Erotomaniac,movie,"""Animation, Horror""",2022,tt18279118,6.4,24,"""GB, GG, IE"""
Escape from Darwin,movie,"""Action, Western""",2008,tt1252482,4.5,85,"""AU, BM, BZ, CA, CM, GH, GI, GY, IE, KE, LC, MW, NG, NZ, PG, PH, TC, UG, ZA"""
Escape from Tomorrow,movie,"""Comedy, Drama, Fantasy""",2013,tt2187884,5.1,10186,"""AT, CH, DE, JP, LI"""
Escape Plan,movie,"""Action, Thriller""",2013,tt1211956,6.7,261392,"""AG, AR, AT, AU, BB, BM, BO, BR, BS, CL, CO, CR, DE, DK, DO, EC, FI, GT, HN, JM, LC, MX, NO, PA, PE, PY, SE, SV, TC, TT, UY, VE"""
Escape Room,movie,"""Horror, Thriller""",2017,tt5159414,4.2,14309,"""AR, AU, BO, BZ, CL, CO, CR, DO, EC, ES, GB, GG, GT, HN, IE, IN, IT, MX, NI, NZ, PA, PE, PY, SM, SV, US, UY, VA, VE"""
Escape Room: Tournament of Champions,movie,"""Action, Adventure, Horror""",2021,tt9844522,5.7,62290,"""AD, ES, GB, GG, GI, IE"""
Escena en blanco y negro,tv,"""Music, Talk-Show""",2020,tt13353012,9.1,13,"""ES"""
Escuela para solteras,movie,"""Comedy""",1965,tt0058069,7.6,37,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, US, UY, VE"""
Españoles en el mundo,tv,"""Documentary""",2009,tt1022937,7.2,30,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, MX, NI, PA, PE, PY, SV, UY, VE"""
Especialista en señoras,movie,"""Comedy, Drama, Musical""",1951,tt0221156,6.4,12,"""AR, BO, BZ, CL, CO, CR, DO, EC, GT, HN, NI, PA, PE, PY, SV, UY, VE"""
Essex Boys: The Truth,movie,"""Documentary""",2015,tt5520436,5.9,64,"""GB, GG, IE"""
Ester Steinberg: Burning Bush,movie,"""Comedy""",2021,tt12752056,5.2,49,"""AG, AU, BB, BM, BS, BZ, CA, CM, GH, GI, GY, IE, JM, KE, LC, MW, NG, PG, TC, TT, UG, US, ZA"""
Esther,movie,"""Drama""",1986,tt0133742,6.1,87,"""GB, GG, IE"""
Esther and the King,movie,"""Biography, Drama, History""",1960,tt0053800,5.5,952,"""AU, BM, BZ, CA, CM, GB, GG, GH, GI, GY, IE, KE, LC, MW, NG, NZ, PG, PH, TC, UG, US, ZA"""
